43;café branco Ipoh;1;16 - 500 g tins;17;10;25;0;46.00;36.80
44;Açúcar de palma;2;20 - 2 kg bags;27;0;15;0;19.45;15.50
45;Arenque do Atlântico;8;1k pkg.;5;70;15;0;9.50;7.60
46;Arenque Marinado;8;4 - 450 g glasses;95;0;0;0;12.00;9.60
47;biscoito holandês stroopwafel;3;10 - 4 oz boxes;36;0;0;0;9.50;7.60
48;Chocolate;3;10 pkgs.;15;70;25;0;12.75;10.20
49;Maxilaku;3;24 - 50 g pkgs.;10;60;15;0;20.00;16.00
50;chocolate branco;3;12 - 100 g bars;65;0;30;0;16.25;13.00
51;Maça Desidratada;7;50 - 300 g pkgs.;20;0;10;0;53.00;42.40
52;Massa Filo;5;16 - 2 kg boxes;38;0;25;0;7.00;5.60
53;Empanada do Reino Unido;6;48 pieces;0;0;0;1;32.80;26.20
54;torta de carne canadense;6;16 pies;21;0;10;0;7.45;5.90
55;torta canadense / francesa;6;24 boxes x 2 pies;115;0;20;0;24.00;19.20
56;Nhoque;5;24 - 250 g pkgs.;21;10;30;0;38.00;30.40
57;Ravioli;5;24 - 250 g pkgs.;36;0;20;0;19.50;15.60
58;Escargot;8;24 pieces;62;0;20;0;13.25;10.60
59;Queijo Raclette;4;5 kg pkg.;79;0;0;0;55.00;44.00
60;Queijo Camembert;4;15 - 300 g rounds;19;0;0;0;34.00;27.20
61;xarope de bordo;2;24 - 500 ml bottles;113;0;25;0;28.50;22.80
62;Torta doce;3;48 pies;17;0;0;0;49.30;39.40
63;Torta de vegetais;2;15 - 625 g jars;24;0;5;0;43.90;35.10
64;Pão redondo da Áustria;5;20 bags x 4 pieces;22;80;30;0;33.25;26.60
65;Molho Picante;2;32 - 8 oz bottles;76;0;0;0;21.05;16.80
66;Molho Picante de Quiabo;2;24 - 8 oz jars;4;100;20;0;17.00;13.60
67;Cerveja Lager;1;24 - 12 oz bottles;52;0;10;0;14.00;11.20
68;Baguete Escocesa;3;10 boxes x 8 pieces;6;10;15;0;12.50;10.00
69;Manteiga;4;10 kg pkg.;26;0;15;0;36.00;28.80
70;Cerveja Australiana Lager;1;24 - 355 ml bottles;15;10;30;0;15.00;12.00
71;"queijo marrom ";4;10 - 500 g pkgs.;26;0;0;0;21.50;17.20
72;Mozzarella;4;24 - 200 g pkgs.;14;0;0;0;34.80;27.80
73;Caviar vermelho;8;24 - 150 g jars;101;0;5;0;15.00;12.00
74;Tofu Liquido;7;5 kg pkg.;4;20;5;0;10.00;8.00
75;Cerveja Alemã;1;24 - 0.5 l bottles;125;0;25;0;7.75;6.20
76;Licor de Amora Finlandes;1;500 ml;57;0;20;0;18.00;14.40
77;Salsa Verde;2;12 boxes;32;0;15;0;13.00;10.40
